"Dbh.QSM","Stem.mass","Branch.mass","Total.mass","Total.height","plot","tree","CO2"
29.6,354.24,60.516,414.92,19.5,"plot 5",35,"ele"
26.9,317.34,132.84,449.36,21.2,"plot 5",36,"ele"
17.2,236.16,240.26,475.6,16.5,"plot 5",37,"ele"
24,353.42,187.78,541.2,20.7,"plot 5",38,"ele"
20.8,151.7,149.24,300.12,12.9,"plot 5",39,"ele"
15.8,69.126,119.72,189.42,10.4,"plot 5",40,"ele"
20.2,241.08,132.02,373.1,18.5,"plot 5",41,"ele"
19.9,100.04,101.68,201.72,19.7,"plot 5",42,"ele"
24.1,154.98,50.922,205.82,13.4,"plot 6",1,"amb"
11.5,73.308,57.728,131.2,8.72,"plot 6",2,"amb"
27.5,401.8,191.88,593.68,20.1,"plot 6",3,"amb"
9.03,49.61,66.912,116.44,7.64,"plot 6",4,"amb"
9.88,56.744,91.02,147.6,11.1,"plot 6",5,"amb"
40.2,592.04,353.42,946.28,19.9,"plot 6",6,"amb"
15.7,85.28,24.682,109.88,11.1,"plot 6",7,"amb"
11,28.126,15.58,43.706,8.71,"plot 6",8,"amb"
16.6,123.82,31.816,154.98,12.7,"plot 6",9,"amb"
23.8,192.7,98.4,291.1,17,"plot 6",10,"amb"
10.1,83.64,74.62,158.26,17,"plot 6",11,"amb"
19.5,135.3,35.424,171.38,13.8,"plot 6",12,"amb"
24.5,382.12,166.46,548.58,19,"plot 6",13,"amb"
22.9,172.2,53.874,226.32,13.2,"plot 6",14,"amb"
38.2,592.86,145.96,739.64,21.1,"plot 6",15,"amb"
32.2,282.9,71.504,354.24,19,"plot 6",16,"amb"
41.6,492,209.92,701.92,15.7,"plot 6",17,"amb"
12.7,68.388,61.5,129.56,8.05,"plot 6",18,"amb"
22.3,270.6,52.644,323.08,18.7,"plot 6",19,"amb"
18.2,190.24,183.68,373.1,13,"plot 6",20,"amb"
54.1,828.2,533,1361.2,22.2,"plot 6",21,"amb"
23.7,287,230.42,516.6,17,"plot 6",22,"amb"
