Ring,Tree,CO2-trt,Classif,Coord1-N,Coord2-E,Height,Height (ML),Height (CC),Diameter,Dia (ML),Dia (CC),Scalar field (CC)
6,612,ambient,Dominant,9.6,4.3,21.3,,,32.85,,,
6,613,ambient,Codominant,9.1,-7.4,12.6,,,20,,,
6,614,ambient,Dominant,6.45,-8.45,7.1,,,35.74,,,
6,615,ambient,Suppressed,-3.7,-5.4,11.1,,,16.36,,,
6,616,ambient,Suppressed,-1.25,-2.9,19.5,,,17.73,,,
6,617,ambient,Suppressed,-0.85,-5.25,13.9,,,15.89,,,
6,618,ambient,Codominant,1,-9.4,20.7,,,22.09,,,
6,619,ambient,Suppressed,-4.65,-10.8,8.8,,,17.98,,,
6,620,ambient,Codominant,-5.6,-3.65,11.5,,,23.04,,,
6,621,ambient,Codominant,-8.2,-5.65,4.8,,,14.99,,,
